step,reward,loss,rev_kl,grad_norm,off_pol,tps
202,0.4998,-2.5463,0.3723,11.273,0.0059,316
203,0.5079,-2.06,0.2942,9.723,0.0012,334
204,0.5127,-0.8195,0.1262,5.902,0.0019,199
205,0.51,-2.0002,0.2869,10.391,0.0012,560
206,0.504,-2.3166,0.3414,10.305,0.0015,377
207,0.5058,-1.8582,0.2799,9.02,0.0012,273
208,0.51,-1.2751,0.2052,9.859,0.004,487
209,0.4977,-1.7093,0.256,8.891,0.0049,336
210,0.4913,-1.499,0.2252,8.559,0.001,240
211,0.4995,-1.6697,0.2509,9.195,0.0019,264
212,0.5019,-2.2071,0.3177,9.801,0.0005,265
213,0.4998,-1.6856,0.2636,7.547,0.0012,323
214,0.504,-2.1344,0.3247,10.445,0.0008,313
215,0.5014,-1.2078,0.1871,7.602,0.0013,278
216,0.5131,-1.7957,0.2529,9.352,0.0151,248
217,0.498,-2.0834,0.3117,9.645,0.0011,289
218,0.4998,-1.8002,0.2659,14.07,0.008,269
219,0.4838,-1.4928,0.2325,8.082,0.0031,290
220,0.4998,-1.8475,0.2748,9.602,0.0011,303
221,0.5032,-1.7014,0.2555,9.047,0.001,296
222,0.504,-1.4422,0.2095,6.82,0.0011,374
223,0.5014,-1.534,0.2284,9.438,0.0004,338
224,0.4877,-1.8707,0.2757,9.656,0.0016,360
225,0.4598,-1.7303,0.2404,9.078,0.002,356
226,0.4933,-1.5474,0.2302,9.117,0.0005,301
227,0.5307,-1.6054,0.2237,8.957,0.0007,227
228,0.4838,-1.4267,0.2028,7.523,0.0007,280
229,0.4959,-1.7098,0.2493,9.137,0.0007,197
230,0.533,-2.0103,0.3031,9.844,0.0018,518
231,0.5134,-1.8549,0.2616,9.27,0.0007,408
232,0.4838,-1.8957,0.2613,9.453,0.0016,180
233,0.51,-1.8473,0.2518,8.566,0.0021,601
234,0.4796,-1.379,0.2087,7.789,0.0031,216
235,0.4775,-1.7869,0.2609,9.074,0.0012,347
236,0.4856,-1.4793,0.2097,8.363,0.005,201
237,0.4835,-1.3015,0.1828,7.121,0.0024,218
238,0.505,-1.9037,0.2916,9.973,0.0032,200
239,0.5019,-2.099,0.3088,9.957,0.0024,263
240,0.4933,-1.5381,0.2247,7.836,0.0025,250
241,0.5016,-1.1563,0.173,7.25,0.0015,253
242,0.4978,-1.7382,0.2723,9.25,0.0031,255
243,0.5349,-1.8634,0.2704,10.129,0.004,315
244,0.4998,-2.2521,0.3136,10.305,0.0004,420
245,0.5019,-2.1491,0.2949,10.414,0.0032,241
246,0.4598,-1.8083,0.2524,9.137,0.0075,308
247,0.5012,-1.602,0.2379,8.625,0.003,383
248,0.4969,-1.3498,0.2054,7.82,0.0014,248
249,0.4677,-1.3459,0.1995,8.684,0.008,217
250,0.4659,-1.398,0.187,7.812,0.0023,294
251,0.5019,-1.322,0.1839,7.531,0.0016,392
252,0.4659,-1.52,0.2297,9.602,0.0024,249
253,0.498,-2.306,0.3378,11.859,0.002,291
254,0.4898,-1.6597,0.2376,7.969,0.0013,344
