step,reward,loss,rev_kl,grad_norm,off_pol,tps
433,1.3763,0.0,,0.0,0.0003,728
434,1.1107,-0.0014,,2.685,0.008,536
435,1.3763,0.0,,0.0,0.0007,744
436,0.9835,0.0001,,1.162,0.0209,426
437,1.3763,0.0,,0.0,0.0019,732
438,0.9096,-0.0006,,1.455,0.004,510
439,0.9895,-0.0001,,0.216,0.0006,734
440,1.3608,0.0001,,0.648,0.0187,732
441,0.8752,0.0001,,1.002,0.0136,430
442,1.1477,-0.0005,,1.413,0.0235,464
443,1.0823,-0.0003,,0.702,0.0353,723
444,1.1752,0.0007,,0.844,0.0189,738
445,0.6492,0.0002,,0.76,0.1142,706
446,1.2525,0.0,,0.0,0.0003,737
447,1.1322,0.0006,,1.899,0.0214,470
448,1.1416,-0.0014,,1.512,0.0942,505
449,1.0205,0.0002,,0.79,0.0121,719
450,1.0119,-0.002,,3.078,0.0341,403
451,1.1391,0.0003,,2.121,0.0366,658
452,1.0798,-0.0034,,1.563,0.0979,531
453,1.2061,-0.0001,,0.551,0.0286,738
454,1.3307,-0.0028,,2.717,0.0289,410
455,1.0866,-0.0061,,2.271,0.0931,484
456,1.1167,0.0007,,2.478,0.0463,344
457,1.1941,-0.0003,,2.132,0.0496,490
458,0.7893,-0.007,,2.819,0.0355,333
459,0.9629,-0.0012,,0.579,0.0182,643
460,1.1227,0.0004,,0.74,0.0124,462
461,0.8641,-0.0058,,2.942,0.09,533
462,0.8452,-0.0013,,1.107,0.0172,665
463,1.0334,0.0,,1.136,0.0028,537
464,0.9285,-0.0006,,2.02,0.9217,604
465,1.0394,-0.0004,,1.637,0.025,492
466,1.1287,0.0,,0.0,0.0011,715
467,1.1107,-0.001,,0.8,0.0019,532
468,0.8752,0.0003,,0.849,0.2992,441
469,1.1631,-0.0004,,1.282,0.0031,342
470,1.1287,0.0,,0.0,0.0016,720
471,1.2061,-0.0002,,1.062,0.0278,729
472,1.2989,-0.0,,0.35,0.0193,738
473,1.0927,-0.0002,,1.001,0.049,668
474,0.8752,-0.0001,,0.411,0.001,454
475,1.1287,0.0,,0.0,0.0011,734
476,1.0669,0.0001,,0.731,0.1009,697
477,1.0299,0.0002,,1.27,0.0754,445
478,1.3763,0.0,,0.0,0.0308,741
479,1.237,0.0001,,0.785,0.0029,716
480,1.1511,-0.0002,,0.944,0.0517,589
481,1.2216,0.0001,,1.059,0.0034,712
482,1.1287,0.0,,0.0,0.0005,722
483,0.8692,0.0002,,0.546,0.0435,431
484,1.3582,-0.0001,,0.667,1.2752,533
485,0.8907,0.0003,,1.046,0.0191,456
486,1.3144,0.0001,,0.844,0.034,717
487,1.1442,0.0,,0.874,0.1883,724
488,0.8752,-0.0002,,2.227,0.0994,427
489,1.0978,-0.0002,,0.068,0.0067,741
490,1.1597,0.0004,,0.871,0.0398,725
491,1.225,-0.0001,,1.24,0.0535,505
492,1.1287,0.0,,0.0,0.002,738
493,0.8812,0.0,,0.0,0.0005,718
494,1.1107,0.0001,,0.931,0.0502,544
495,1.1287,0.0,,0.0,0.0008,718
496,1.2465,-0.0,,1.496,0.0129,433
497,1.268,-0.0,,0.423,0.0029,720
498,1.2465,0.0002,,0.512,0.0738,467
499,1.1133,-0.0002,,0.355,0.0491,736
500,1.237,0.0001,,0.806,0.0081,724
