step,reward,loss,rev_kl,grad_norm,off_pol,tps
224,0.4827,-4.8948,0.5199,20.781,0.0318,300
225,0.4997,-5.8318,0.6148,28.953,0.0087,487
226,0.4741,-5.116,0.5644,20.117,0.0139,230
227,0.5166,-5.9818,0.6539,21.156,0.0065,328
228,0.486,-4.6688,0.4889,16.992,0.0111,278
229,0.4845,-3.7752,0.402,14.375,0.0098,328
230,0.5009,-3.5742,0.3863,16.102,0.0036,235
231,0.4673,-4.284,0.4901,17.367,0.0293,238
232,0.4883,-5.0769,0.5517,20.008,0.0163,307
233,0.4987,-4.6313,0.4775,17.922,0.0126,365
234,0.4664,-4.7058,0.5089,19.023,0.0074,329
235,0.4645,-5.5443,0.5966,22.219,0.0063,256
236,0.4912,-5.7707,0.6474,22.664,0.0426,267
237,0.4925,-6.0373,0.5968,19.25,0.0443,310
238,0.4854,-6.0399,0.6276,22.578,0.002,236
239,0.4599,-5.6,0.5926,23.219,0.0367,234
240,0.492,-3.6575,0.3784,14.109,0.0062,358
241,0.4957,-5.2909,0.5606,18.43,0.0304,231
242,0.499,-5.5864,0.5929,20.07,0.0773,433
243,0.5248,-5.6525,0.6257,22.516,0.0058,244
244,0.4785,-5.6357,0.6068,24.719,0.1112,330
245,0.5016,-4.72,0.5118,20.094,0.0093,462
246,0.4715,-4.9116,0.5319,20.828,0.0169,276
247,0.4993,-5.4462,0.5512,18.938,0.0197,371
248,0.4485,-4.3527,0.4175,17.0,0.0208,314
249,0.4523,-4.9717,0.5556,21.0,0.0301,243
250,0.497,-3.9189,0.4201,16.562,0.0084,280
251,0.4941,-5.5611,0.5696,20.234,0.0026,389
252,0.4766,-3.9509,0.4374,15.07,0.0021,293
253,0.4796,-5.2506,0.5713,20.953,0.007,209
254,0.4762,-4.5432,0.4889,18.148,0.0054,483
255,0.4707,-4.974,0.501,16.453,0.0068,257
256,0.4575,-4.6543,0.4722,19.914,0.0045,274
257,0.4872,-4.5578,0.4752,19.148,0.0205,220
258,0.4851,-4.2437,0.4551,19.102,0.025,336
259,0.502,-6.1229,0.648,19.844,0.0148,551
260,0.4745,-5.5655,0.5939,18.383,0.005,326
261,0.4652,-5.4254,0.5608,20.492,0.0283,316
262,0.493,-4.3943,0.4776,17.109,0.0032,361
263,0.497,-4.9626,0.5135,17.891,0.003,368
264,0.4715,-5.9005,0.6268,25.117,0.009,293
265,0.4523,-5.686,0.6117,21.109,0.0114,245
266,0.4985,-3.9351,0.4057,16.039,0.0021,376
267,0.4734,-4.5281,0.4787,16.375,0.0076,329
268,0.4727,-5.6193,0.6532,24.891,0.0034,233
269,0.4966,-5.2748,0.5283,21.078,0.0035,284
270,0.5128,-3.8286,0.3916,16.75,0.0055,366
271,0.5026,-3.9647,0.4301,16.0,0.005,313
272,0.4823,-3.3734,0.3445,14.07,0.0046,340
273,0.4817,-5.4807,0.5507,19.422,0.0108,290
274,0.4833,-4.3143,0.4782,15.586,0.012,331
275,0.5197,-5.9537,0.6378,19.469,0.0077,456
276,0.4895,-5.4945,0.5866,19.672,0.0189,343
277,0.4751,-5.3746,0.5598,24.289,0.0083,292
278,0.5134,-6.2884,0.6322,19.578,0.0179,365
279,0.472,-3.8263,0.3889,15.711,0.0308,261
280,0.4673,-7.8684,0.8543,24.422,0.0055,236
281,0.457,-5.5858,0.6154,20.875,0.0093,308
282,0.4811,-5.5107,0.5806,19.227,0.0196,375
283,0.4826,-4.7371,0.5065,18.391,0.0065,362
284,0.4609,-5.1342,0.5363,19.742,0.0027,296
285,0.4845,-4.101,0.4287,15.445,0.0036,369
286,0.4838,-4.006,0.4189,16.32,0.0135,266
287,0.4982,-6.962,0.7125,23.891,0.0024,374
288,0.4705,-5.921,0.6419,24.172,0.0226,308
289,0.4925,-4.2667,0.451,16.32,0.0037,260
290,0.4945,-3.5373,0.3729,15.102,0.0046,281
291,0.544,-4.7596,0.4968,18.75,0.0041,365
292,0.467,-4.7738,0.5064,17.375,0.0053,337
293,0.5063,-5.4013,0.5996,17.664,0.0229,257
294,0.4602,-4.2557,0.4448,15.148,0.008,306
295,0.4834,-4.2284,0.4542,17.227,0.0053,255
296,0.488,-4.9837,0.5033,20.016,0.0226,284
297,0.5032,-4.7316,0.4949,20.953,0.0148,456
298,0.5184,-4.2711,0.4533,16.594,0.0137,301
299,0.4871,-5.871,0.6117,20.875,0.0033,265
300,0.4859,-6.1282,0.6429,19.438,0.0057,318
301,0.5038,-5.9532,0.6279,16.539,0.0109,369
302,0.5037,-5.9255,0.6125,20.859,0.0114,447
303,0.4716,-5.6716,0.6028,20.656,0.013,358
304,0.52,-4.992,0.508,19.594,0.009,277
305,0.4987,-6.3148,0.6337,21.156,0.0056,405
306,0.5188,-4.8707,0.4997,16.594,0.013,358
307,0.4547,-4.7835,0.5163,18.875,0.0027,280
308,0.4939,-5.0112,0.5434,19.938,0.0054,349
309,0.5119,-3.928,0.3984,14.453,0.0024,298
310,0.5053,-4.853,0.4882,15.062,0.0774,355
311,0.4916,-5.2139,0.5677,18.711,0.0118,276
312,0.465,-3.6977,0.4147,15.227,0.0311,303
313,0.4347,-5.8494,0.6276,25.672,0.0063,229
314,0.4977,-3.9586,0.434,16.602,0.0057,355
315,0.4958,-4.675,0.4783,16.945,0.0047,256
316,0.4988,-6.9177,0.7127,20.141,0.0094,362
317,0.4736,-4.8086,0.4717,19.367,0.009,253
318,0.5008,-4.4718,0.4799,18.055,0.0061,417
319,0.4971,-5.0804,0.5198,17.0,0.0061,443
320,0.4981,-5.3029,0.5848,18.43,0.006,352
321,0.4737,-6.2419,0.6423,21.609,0.0055,252
322,0.4933,-5.0149,0.5332,16.508,0.0057,308
323,0.4928,-5.3911,0.5437,18.086,0.0188,263
324,0.4883,-4.967,0.5179,18.211,0.012,285
325,0.4736,-4.4115,0.4687,16.375,0.0051,231
326,0.4994,-5.544,0.5815,17.742,0.0019,378
327,0.501,-4.1609,0.411,14.438,0.0305,313
328,0.477,-3.8022,0.4158,16.633,0.0048,400
329,0.4674,-5.5012,0.6234,22.516,0.0352,256
330,0.4671,-6.5022,0.6656,19.672,0.0033,226
331,0.4914,-3.8141,0.4086,14.75,0.0042,332
332,0.4915,-4.6855,0.4912,18.211,0.0034,229
333,0.4886,-5.206,0.5158,17.742,0.0248,294
334,0.4679,-5.4909,0.5492,21.734,0.0019,242
335,0.4744,-4.9863,0.4897,15.273,0.0117,359
336,0.51,-5.7551,0.6269,22.234,0.0071,303
337,0.4856,-5.1705,0.553,20.656,0.0038,285
338,0.4873,-4.9905,0.5423,17.5,0.0036,277
339,0.4913,-5.5587,0.5578,17.133,0.0019,345
340,0.4909,-6.738,0.7077,24.594,0.0179,258
341,0.4759,-5.592,0.6013,21.664,0.0028,237
342,0.4617,-4.3821,0.448,14.992,0.0098,307
343,0.4969,-5.9344,0.6182,19.148,0.0272,356
344,0.4902,-7.9759,0.8258,24.75,0.0194,267
345,0.5019,-7.1845,0.7489,24.562,0.0117,409
346,0.4873,-6.0329,0.622,19.141,0.0043,236
347,0.4787,-7.308,0.7597,23.781,0.0045,290
348,0.4913,-5.6304,0.5657,17.172,0.0315,322
349,0.493,-5.2185,0.5301,18.156,0.0579,275
350,0.4711,-4.9692,0.497,16.016,0.0057,282
351,0.5023,-5.7731,0.5825,20.75,0.0095,547
352,0.5161,-4.2057,0.4104,14.812,0.0029,270
353,0.4922,-5.0664,0.5157,18.266,0.0095,394
354,0.5216,-4.9602,0.5352,18.016,0.0172,241
355,0.5002,-3.4946,0.3704,15.508,0.0022,279
356,0.4905,-3.6863,0.3608,15.773,0.0035,297
357,0.5024,-4.9149,0.4904,16.953,0.0051,351
358,0.4718,-4.0977,0.4302,18.273,0.0071,228
359,0.4737,-5.4232,0.5764,19.516,0.009,216
360,0.5073,-4.5447,0.4747,16.828,0.008,301
361,0.5031,-3.8517,0.3808,17.594,0.0044,424
362,0.4977,-3.1488,0.3301,14.375,0.0324,384
363,0.4793,-4.6775,0.482,25.352,0.0065,299
364,0.5145,-5.2388,0.5423,18.477,0.0092,203
365,0.4955,-6.0436,0.6117,20.641,0.0073,526
366,0.4969,-5.4088,0.5503,19.195,0.057,410
367,0.4969,-6.2187,0.6468,22.344,0.0041,449
368,0.4868,-4.6062,0.4813,18.312,0.0189,409
369,0.4975,-5.0536,0.5455,18.578,0.0047,283
370,0.5039,-5.1183,0.5378,20.656,0.009,524
371,0.4961,-4.1786,0.4149,15.883,0.0212,373
372,0.5017,-4.436,0.4639,14.445,0.0061,476
373,0.5152,-5.052,0.5223,18.875,0.0166,254
374,0.4963,-5.1435,0.5216,17.086,0.0034,450
375,0.4937,-4.3741,0.4454,16.578,0.0044,354
376,0.4798,-5.2905,0.5338,17.797,0.0025,356
377,0.4834,-4.5253,0.4495,16.148,0.0042,263
378,0.4956,-4.9988,0.523,19.047,0.0086,343
379,0.4629,-5.6614,0.5886,21.875,0.0077,270
380,0.5018,-3.8673,0.4072,14.07,0.0036,542
381,0.4927,-4.4606,0.467,16.883,0.0274,254
382,0.4863,-5.7505,0.5928,19.594,0.0018,385
383,0.4952,-4.3124,0.4429,15.367,0.0073,323
384,0.5087,-4.2156,0.4227,14.844,0.0114,324
385,0.4841,-5.2638,0.5585,21.266,0.0023,313
386,0.4882,-5.2263,0.5514,18.344,0.0089,250
387,0.4836,-6.3972,0.6813,23.562,0.0039,317
388,0.5002,-4.9624,0.5001,18.219,0.0037,355
389,0.4892,-4.3973,0.4617,18.273,0.0053,347
390,0.4852,-4.0261,0.4432,16.109,0.0053,285
391,0.4887,-4.4088,0.4556,19.344,0.0025,323
392,0.4872,-4.9422,0.5125,17.344,0.006,293
393,0.5314,-4.2767,0.4216,14.891,0.0034,301
394,0.4688,-3.7812,0.4087,16.883,0.0025,331
395,0.4903,-4.7519,0.5294,19.078,0.0053,280
396,0.4669,-5.4533,0.5478,16.539,0.0036,421
397,0.5135,-4.6025,0.4751,16.375,0.0038,394
398,0.4934,-4.2117,0.4208,13.68,0.0046,309
399,0.4866,-4.3128,0.4669,17.281,0.002,246
400,0.4923,-5.7946,0.6137,23.953,0.0035,385
401,0.4753,-4.3709,0.4459,15.781,0.0046,268
402,0.5255,-5.3178,0.5426,19.531,0.0035,272
403,0.4953,-6.7398,0.6864,20.078,0.0398,402
404,0.4695,-5.292,0.5531,23.219,0.0077,242
405,0.5203,-4.9033,0.5303,19.031,0.0025,394
406,0.4984,-4.105,0.4254,16.203,0.0163,522
407,0.5147,-3.8271,0.3697,14.828,0.005,261
408,0.5027,-4.7076,0.4757,17.57,0.0055,276
409,0.4832,-4.4244,0.4456,16.484,0.0104,340
410,0.5084,-5.415,0.5781,18.25,0.0038,342
411,0.4941,-5.1269,0.5011,19.039,0.0044,569
412,0.5056,-4.1568,0.4289,15.688,0.0045,453
413,0.4849,-4.7494,0.4897,16.43,0.0023,253
414,0.5309,-5.2979,0.5635,19.5,0.0034,342
415,0.497,-5.3024,0.5444,15.484,0.0023,448
416,0.498,-4.8206,0.4968,18.141,0.0021,418
417,0.487,-4.7701,0.5022,18.047,0.0249,279
418,0.5333,-4.7741,0.4971,15.523,0.0055,258
419,0.4962,-5.2082,0.5232,18.273,0.0077,285
420,0.4902,-6.2784,0.6257,20.734,0.0021,351
421,0.51,-4.437,0.4692,16.727,0.0027,237
422,0.5332,-4.7132,0.505,17.648,0.0106,316
423,0.4948,-5.0045,0.5103,17.227,0.0068,381
424,0.4679,-5.888,0.589,22.422,0.0064,232
425,0.5037,-4.6851,0.4715,15.664,0.0518,252
